date,home,away,total_yards_opp_homeAvg,total_yards_homeAvg,sacks_opp_homeAvg,sacks_homeAvg,turnovers_opp_homeAvg,turnovers_homeAvg,penalties_opp_homeAvg,penalties_homeAvg
10/20/2002,Lions,Bears,224,362,3,2,3,1,5,10
10/20/2002,Falcons,Panthers,205,393,4,1,1,0,6,9
10/20/2002,Packers,Redskins,238,243,6,1,4,1,11,11
10/20/2002,Browns,Texans,354,230,8,1,2,0,6,4
10/20/2002,Chiefs,Broncos,507,305,1,4,1,0,8,5
10/20/2002,Saints,49ers,418,422,0,3,2,1,5,4
10/20/2002,Rams,Seahawks,290,478,3,1,3,2,2,6
10/21/2002,Steelers,Colts,367,364,2,1,3,1,7,4
10/27/2002,Panthers,Buccaneers,226,130,6,3,2,4,4,7
10/27/2002,Cowboys,Seahawks,267,237,1,2,2,1,6,5
10/27/2002,Patriots,Broncos,351,179,2,5,2,0,2,8
10/27/2002,Ravens,Steelers,283,360,0,1,1,5,7,13
10/27/2002,Jaguars,Texans,242,290,4,5,1,0,9,5
10/27/2002,Chiefs,Raiders,417,323,0,3,2,2,6,4
10/27/2002,Jets,Browns,334,241,2,1,0,3,7,6
10/27/2002,Bills,Lions,282,343,0,4,1,2,8,6
10/27/2002,Bengals,Titans,342,384,1,0,1,1,7,9
10/27/2002,Vikings,Bears,218,364,6,0,3,1,6,11
10/27/2002,Redskins,Colts,258,370,3,1,3,1,6,5
10/27/2002,Saints,Falcons,446,351,3,0,2,3,10,9
10/27/2002,49ers,Cardinals,420,357,3,1,4,0,7,3
10/28/2002,Eagles,Giants,348,422,1,1,1,0,9,9
11/3/2002,Seahawks,Redskins,259,324,1,4,1,2,6,5
11/3/2002,Texans,Bengals,390,268,0,2,0,2,9,8
11/3/2002,Bills,Patriots,422,331,1,4,0,1,8,5
11/3/2002,Lions,Cowboys,221,148,5,1,2,2,7,6
11/3/2002,Bears,Eagles,309,260,3,3,1,1,6,12
11/3/2002,Chargers,Jets,413,243,2,2,0,3,6,8
11/3/2002,Cardinals,Rams,415,235,2,3,2,3,9,6
11/3/2002,Colts,Titans,198,378,1,3,0,3,5,6
11/3/2002,Falcons,Ravens,340,241,6,3,2,1,7,4
11/3/2002,Browns,Steelers,391,193,2,4,1,3,3,11
11/3/2002,Raiders,49ers,434,239,0,1,1,1,3,6
11/3/2002,Giants,Jaguars,329,394,2,3,1,1,8,7
11/3/2002,Buccaneers,Vikings,387,446,3,0,3,0,12,7
11/4/2002,Packers,Dolphins,306,270,5,3,4,1,6,9
11/10/2002,Cardinals,Seahawks,406,337,1,0,0,5,4,3
11/10/2002,Jets,Dolphins,279,264,3,1,2,0,6,5
11/10/2002,Eagles,Colts,446,374,0,2,1,2,3,3
11/10/2002,Titans,Texans,233,251,4,0,3,2,5,3
11/10/2002,49ers,Chiefs,256,323,3,3,0,1,4,3
11/10/2002,Vikings,Giants,460,356,1,5,1,2,9,10
11/10/2002,Panthers,Saints,345,396,2,2,0,2,11,7
11/10/2002,Jaguars,Redskins,307,309,2,3,3,0,6,8
11/10/2002,Rams,Chargers,256,524,1,0,2,4,12,10
11/10/2002,Bears,Patriots,397,299,2,2,2,1,6,5
11/10/2002,Steelers,Falcons,447,645,3,2,2,3,11,4
11/10/2002,Ravens,Bengals,372,325,3,2,4,2,5,1
11/10/2002,Packers,Lions,362,503,0,2,2,2,1,8
11/11/2002,Broncos,Raiders,374,342,1,4,0,1,5,3
11/17/2002,Seahawks,Broncos,401,204,1,5,1,3,11,6
11/17/2002,Lions,Jets,408,279,1,0,1,1,4,5
11/17/2002,Chiefs,Bills,344,320,2,1,1,0,13,5
11/17/2002,Giants,Redskins,166,299,2,0,2,3,7,8
11/17/2002,Colts,Cowboys,178,362,5,0,2,1,4,7
11/17/2002,Chargers,49ers,467,441,1,0,1,1,8,5
11/17/2002,Bengals,Browns,382,350,0,1,1,1,4,4
11/17/2002,Texans,Jaguars,321,272,5,4,1,2,7,5
11/17/2002,Buccaneers,Panthers,231,314,4,2,4,2,2,5
11/17/2002,Falcons,Saints,344,292,2,3,2,1,16,9
11/17/2002,Dolphins,Ravens,157,337,7,0,1,0,7,3
11/17/2002,Raiders,Patriots,195,386,4,1,1,1,7,12
11/17/2002,Vikings,Packers,367,425,0,2,3,3,13,12
11/17/2002,Titans,Steelers,357,378,1,0,3,1,4,5
11/17/2002,Eagles,Cardinals,248,462,4,1,1,2,1,8
11/18/2002,Rams,Bears,220,388,7,4,0,2,5,11
11/24/2002,Panthers,Falcons,426,122,0,8,1,6,6,5
11/24/2002,Ravens,Titans,402,199,1,4,4,2,9,6
11/24/2002,Saints,Browns,339,383,1,2,2,6,4,5
11/24/2002,Texans,Giants,369,212,2,5,3,1,9,8
11/24/2002,Bears,Lions,301,422,2,3,2,1,7,6
11/24/2002,Redskins,Rams,364,362,3,0,2,0,8,4
11/24/2002,Broncos,Colts,344,285,2,2,3,2,4,9
11/24/2002,Cardinals,Raiders,520,263,1,2,1,3,13,5
11/24/2002,Buccaneers,Packers,267,246,3,2,4,1,7,6
11/24/2002,Cowboys,Jaguars,326,405,2,3,3,3,11,10
11/24/2002,Patriots,Vikings,417,299,4,2,3,0,8,5
